"Timestamp","What is your gender ?","What is your marital status","Who do you stay with ?","What is your highest education level","What kind of movies do you watch ?","What is your age range","What is your country of origin?","What is your town/city/province of origin?","Where are you currently staying?","State the languages that you can speak fluently","What is your religion","What is your mood today ?","What is the current situation around you ?","Do you have mental stress ?","Are you currently studying ?","Are you expecting any upcoming event in the next two weeks ?","What is your emotional state today ?","Which location best describes where you stay ?  ","State your area of expertise(e.g art or engineering)","What is your income range per month in US$","State the model of the device that you are using to answer these questions(e.g mobile: Nokia 5, laptop: dell latitude 3340)","Sports [Sports]","Technology [Technology]","News [News]","Music [Music]","Hobbies [Hobbies]","Food [Food Types]"
"2019/02/12 4:37:50 PM GMT+2","Male","Married","Immediate Family","Tertiary","Documentaries;Religious;Sci-fi;comedy","46-50","zimbabwe","Murewa","Chinhoyi","Shona and English","Christianity","good","hopeful","No","Yes","Yes","Joyful","High Density","Engineering","101-1 000","Laptop","Soccer","Information Technology;Agriculture","sport news;feature news","Gospel/religious;Reggae","fishing;sporting;singing","Edible plants;Edible nuts and seeds;Cereals"
"2019/02/12 4:42:29 PM GMT+2","Male","Married","Immediate Family","Professional","Documentaries","Above 50","zim","mutare","chinhoyi","english and shona","Christianity","good","chaotic","No","No","Yes","Joyful","Rural","engineering","1001-10 000","laptop","Atheletics","Energy","hard news","Gospel/religious","singing;watching TV","Edible plants;Meat;Seafood"
"2019/02/12 5:00:42 PM GMT+2","Male","Single","Immediate Family","Professional","Documentaries;Sci-fi;comedy;Romance;Action","21-25","zimbabwe","harare","harare","english,shona","Christianity","good","good","No","Yes","No","Joyful","High Density","engineering","101-1 000","lenovo p51s","Cricket","Information Technology;Sensors;Energy;Industrial Machines;Robotics;Artificial Intelligence","hard news;sport news;Tech News;Business News","Gospel/religious;Reggae;Country;House;Electronic","reading;e-gaming;sporting","legumes;Edible plants;Edible nuts and seeds;Baked goods;Breads;Dairy products;Eggs;Meat;Cereals;Seafood"
"2019/02/12 5:35:37 PM GMT+2","Male","Single","Immediate Family;Sibling(s)","Professional","Documentaries;comedy;Action","21-25","ZIMBABWE","KADOMA","KADOMA","SHONA, ENGLISH","Christianity","good","peaceful;good","No","Yes","No","Joyful","High Density","ACCOUNTING & FINANCE","101-1 000","Laptop","Atheletics;Soccer","Information Technology;Entertainment & Media;Art & Music;Appliances","sport news;editorial/column;Lifestyle/entertainment;Tech News;Business News","Gospel/religious;sungura;Rnb;Dance Hall;House","reading;sporting;Dance Hall;watching TV","legumes;Edible plants;Dairy products;Eggs;Meat;Cereals"
"2019/02/12 5:48:34 PM GMT+2","Male","Married","Immediate Family;Extended family","Tertiary","Documentaries;Religious;Sci-fi;comedy;Romance;Action;Historical ","31-35","Zimbabwe","Harare","Harare","Shona,English,Sipedi","Christianity","good","peaceful;hopeful;good","No","Yes","No","Joyful","Low Density","Software Development","1001-10 000","mobile: Huawei P10, laptop: Macbook Pro","Atheletics;Soccer;Rugby;Cricket","Information Technology;Transport;Energy;Agriculture;Architecture","hard news;sport news;feature news;Lifestyle/entertainment","pop;rock;sungura;Rnb;Dance Hall;Reggae;Country","Cooking;e-gaming;Dance Hall","legumes;Edible plants;Edible nuts and seeds;Baked goods;Breads;Dairy products;Eggs;Meat;Cereals"
"2019/02/12 7:05:21 PM GMT+2","Male","Single","Noone","Professional","comedy;Romance;Action","26-30","Zimbabwe","Harare","Harare","English and Shona","Christianity","good","good","No","Yes","Yes","Joyful","Low Density","Engineering","1001-10 000","Samsung J5 Prime","Soccer","Information Technology;Clothing & Accessories;Artificial Intelligence","hard news;Tech News;Crime News;Business News","Gospel/religious;jazz;Dance Hall","Cooking;reading;sporting;watching TV","Dairy products;Eggs;Meat;Cereals;Seafood"
"2019/02/12 11:09:25 PM GMT+2","Male","Divorced","Immediate Family","Professional","Romance","36-40","Zimbabwe","Chiredzi","Harare","Shona,English and Ndebele","Christianity","good","hopeful","No","Yes","No","fearful","Medium Density","ICT","101-1 000","Hp Envy 17t","Atheletics;Soccer","Information Technology;Entertainment & Media","hard news;sport news;Tech News;Crime News;Business News","Gospel/religious;sungura;jazz","Cooking;sporting","legumes;Dairy products;Eggs;Meat"
"2019/02/13 6:50:36 AM GMT+2","Male","Married","Immediate Family","Professional","Documentaries","31-35","zimbabwe","marondera","harare ","shona and english","Christianity","good","peaceful","No","Yes","No","Joyful","Medium Density","accountancy","1001-10 000","dell inspiron","Atheletics","Agriculture","Business News","Reggae","fishing","legumes"
"2019/02/13 8:16:20 AM GMT+2","Female","Married","Immediate Family","Professional","comedy","36-40","Zimbabwe","Gwanda Mat South","Harare","Ndebele English and Shona","Christianity","good","peaceful;hopeful","No","Yes","No","Joyful","Low Density","I T","101-1 000","laptop","Others","Information Technology","Lifestyle/entertainment","Gospel/religious;jazz","Cooking;watching TV","legumes;Edible plants;Meat"
"2019/02/13 9:53:03 AM GMT+2","Male","Single","Self","Professional","Documentaries;Sci-fi;Romance;Bollywood","26-30","Zimbabwe","Makonde","Harare","Shona, English, Zimbabwe and American Sign Language","Other","frustrated","hopeful","No","Yes","No","Joyful","Medium Density","Software Development","1001-10 000","laptop : Hp Probook 650 G1","Soccer;Tennis;Cricket","Information Technology;Artificial Intelligence","hard news;feature news;Investigative News;Tech News;Crime News","sungura;jazz;Rnb","Cooking","Dairy products;Eggs;Cereals"
"2019/02/13 10:19:11 AM GMT+2","Male","Single","Immediate Family","Tertiary","Documentaries;comedy;Action","26-30","Zimbabwe","HARARE","Hatfield. Harare","English","Christianity","good","peaceful","No","Yes","No","Joyful","Low Density","Data analysis","101-1 000","","Others","Information Technology","feature news;Lifestyle/entertainment","rock","Cooking;e-gaming","Meat"
"2019/02/13 10:26:38 AM GMT+2","Male","Married","Immediate Family","Professional","Documentaries;Religious;Sci-fi;comedy;Romance;Action","26-30","Zimbabwe","Mutare","Harare","English, Shona","Christianity","good","peaceful","No","Yes","No","Joyful","Low Density","Networking And Infrastructure","1001-10 000","Laptop probook 450g5","Soccer;Cricket","Information Technology","hard news;sport news;Investigative News;Tech News;Crime News","Gospel/religious;pop;rock;sungura;Rnb;Dance Hall;House","e-gaming;sporting;watching TV","Baked goods;Dairy products;Meat"
"2019/02/13 10:28:54 AM GMT+2","Female","Married","Immediate Family","Tertiary","Documentaries;Religious;Sci-fi;comedy;Romance","31-35","Zimbabwe ","Masvingo ","Harare ","Shona ","Christianity","good","peaceful;hopeful;good","No","Yes","Yes","Joyful","Low Density","IT","101-1 000","Mobile samsung galaxy","Atheletics","Information Technology;Sensors;Transport","hard news","Gospel/religious","Cooking;Mountain climbing;reading","Edible plants"
"2019/02/13 11:48:50 AM GMT+2","Female","Married","Immediate Family","Professional","Documentaries","36-40","Zimbabwe","Gweru","Chinhoyi","Shona","Christianity","depressed","peaceful","No","Yes","Yes","sorrowful","Rural","Engineering","1001-10 000","Laptop:Dell latitude something","Tennis","Information Technology","Profiles","Gospel/religious","Cooking","Baked goods"
"2019/02/13 11:55:12 AM GMT+2","Male","Married","Sibling(s)","Tertiary","Documentaries;Religious","31-35","Zimbabwe","Mashonaland West","Chinhoyi","Shona and English","Christianity","good","hopeful","Yes","Yes","No","Joyful","High Density","Economics","101-1 000","Tablet Vodafone","Soccer","Information Technology","hard news;sport news","Gospel/religious","reading;watching TV","legumes;Edible plants;Edible nuts and seeds;Breads;Dairy products;Eggs;Meat;Cereals"
"2019/02/13 12:34:26 PM GMT+2","Female","Married","Immediate Family","Professional","Documentaries;Religious;comedy","41-45","Zimbabwe","Chiredzi","Chinhoyi","English and Shona","Christianity","good","hopeful","No","Yes","Yes","Joyful","Low Density","Ecology and Biodiversity Conservation","101-1 000","laptop","Atheletics;Others","Information Technology;Energy;Agriculture;Entertainment & Media","sport news;feature news;Lifestyle/entertainment;Profiles","Gospel/religious;jazz;Reggae","fishing;watching TV","legumes;Edible plants;Edible nuts and seeds;Breads"
"2019/02/13 12:44:38 PM GMT+2","Male","Single","Sibling(s)","Tertiary","Sci-fi;comedy;Romance;Action","26-30","Zimbabwe","Bulawayo","Mutare","Shona Ndebele Zulu English","Christianity","apathetic","peaceful","No","Yes","No","Joyful","Medium Density","Marketing","101-1 000","Laptop: HP Envy Sleekbook","Atheletics;Soccer;Rugby;Swimming","Information Technology;Entertainment & Media;Artificial Intelligence","hard news;Investigative News;Tech News;Crime News;Business News","rock;sungura;Rnb;Dance Hall;Country;House","Mountain climbing;e-gaming;sporting;Dance Hall","legumes;Edible plants;Edible nuts and seeds;Baked goods;Dairy products;Eggs;Meat"
"2019/02/13 12:47:40 PM GMT+2","Male","Single","Immediate Family","Tertiary","Action","21-25","Zimbabwe","Marondera","marondera","SHONA","Christianity","depressed","good","Yes","No","Yes","sorrowful","Medium Density","INFORMATION TECHNOLOGY","1-100","LAPTOP ELITEBOOK 8560","Swimming","Information Technology","Business News","Gospel/religious","fishing","Dairy products"
"2019/02/13 12:55:33 PM GMT+2","Male","Married","Immediate Family","Tertiary","Documentaries","31-35","Zimbabwe","Bulawayo","Harare","Ndebele/Zulu, English, Shona, Nyambya, Tonga, Nyanja","Christianity","depressed","good","No","Yes","No","Joyful","Medium Density","Public Health","1001-10 000","Laptop","Atheletics;Soccer","Information Technology;Agriculture;Science","sport news","Gospel/religious;Rnb","Mountain climbing;reading","Baked goods;Dairy products;Meat"
"2019/02/13 1:17:13 PM GMT+2","Male","Married","Immediate Family","Tertiary","Documentaries","26-30","Zimbabwe","Rusape, Manicaland","Mutare","Shona and English","Christianity","good","good","No","No","No","Joyful","Medium Density","Software engineering","1001-10 000","Laptop","Soccer","Information Technology","sport news;Business News","Gospel/religious;sungura","reading","legumes;Edible nuts and seeds;Breads;Meat;Seafood"
"2019/02/13 2:22:02 PM GMT+2","Male","Married","Immediate Family;Extended family;Sibling(s)","Professional","Documentaries;comedy","36-40","Zimbabwe","Zimbabwe","Zimbabwe","Shona, English","Christianity","good","peaceful;hopeful;good","No","Yes","No","Joyful","Low Density","Economics","1001-10 000","Desktop","Soccer","Transport;Agriculture","sport news;Business News","Gospel/religious","reading","Edible plants;Eggs;Meat;Cereals"
"2019/02/13 2:29:23 PM GMT+2","Male","Single","Friend(s)","Professional","Documentaries","26-30","Zimbabwe","Midlands","Harare","Emglish and Shona","Christianity","good","hopeful","No","Yes","Yes","Joyful","Medium Density","ICT4D","1001-10 000","laptop hp ELITE BOOK","Soccer;Cricket","Information Technology","feature news","Rnb;Dance Hall;Reggae","e-gaming","Eggs;Meat"
"2019/02/13 2:29:59 PM GMT+2","Male","Married","Immediate Family","Tertiary","Religious;Sci-fi;comedy;Action","31-35","Zimbabwe","Harare","Chinhoyi","English, Shona, Ndebele","Christianity","good","chaotic","No","No","Yes","Joyful","Medium Density","Ecology","1001-10 000","HP 655","Others","Information Technology;Entertainment & Media","hard news","Gospel/religious","reading;e-gaming;watching TV","Eggs;Meat;Cereals"
"2019/02/13 3:15:57 PM GMT+2","Male","Married","Immediate Family","Tertiary","Documentaries","46-50","Zimbabwe","Mutare","Harare","English,Shona,Jamaican Patois","Christianity","good","good","No","Yes","Yes","Joyful","High Density","Engineering","1001-10 000","Laptop","Atheletics;Soccer","Information Technology;Entertainment & Media","sport news;Investigative News;Tech News;Business News","Dance Hall;Reggae","reading;singing","Edible plants;Edible nuts and seeds;Breads;Eggs"
"2019/02/13 3:26:05 PM GMT+2","Female","Single","Extended family","Tertiary","Religious;Romance","21-25","Zimbabwe","Harare","Harare","English and shona","Christianity","good","good","No","Yes","No","Joyful","Medium Density","Computing","101-1 000","Itel s11","Others","Information Technology;Artificial Intelligence","Tech News;Business News","Gospel/religious;Reggae","Cooking;Mountain climbing;reading","Baked goods;Dairy products;Eggs;Cereals"
"2019/02/13 3:44:19 PM GMT+2","Male","Single","Immediate Family","Tertiary","Sci-fi;comedy","26-30","Zimbabwe","Harare","Harare","English Shona Ndebele","Christianity","frustrated;depressed","peaceful","Yes","Yes","No","sorrowful","Medium Density","Analytics","101-1 000","HP Pavilion","Others","Information Technology;Entertainment & Media;Artificial Intelligence","Business News","Gospel/religious;House","singing","Baked goods;Eggs;Meat"
"2019/02/13 3:51:15 PM GMT+2","Male","Married","Immediate Family","Tertiary","Action","41-45","zimbabwe","chinhoyi","chinhoyi in ruvimbo phase 2","english and shona","Christianity","good","peaceful","No","Yes","No","Joyful","High Density","business","101-1 000","laptop","Soccer","Transport","sport news","sungura","watching TV","Meat"
"2019/02/13 4:04:58 PM GMT+2","Male","Married","Immediate Family","Tertiary","Documentaries","31-35","Zimbabwe","Chinhoyi","Chinhoyi ","Shona, English","Christianity","depressed","deceptive","No","Yes","Yes","fearful","High Density","Journalism ","101-1 000","Lenovo Laptop ","Swimming","Entertainment & Media","editorial/column","Gospel/religious","reading","Edible nuts and seeds"
"2019/02/13 4:26:54 PM GMT+2","Male","Single","Immediate Family","Tertiary","Documentaries","26-30","Zimbabwe","Harare","Harare","English, Shona","Christianity","good","peaceful","No","Yes","Yes","Joyful","High Density","Computational Finance","1001-10 000","Samsung J2 2018","Others","Information Technology;Science;Robotics;Artificial Intelligence","Investigative News;Tech News","jazz;Country","e-gaming;watching TV","Baked goods"
"2019/02/13 4:31:34 PM GMT+2","Male","Married","Sibling(s)","Other","Action","41-45","Zimbabwe","HARARE","Harare ","AFRICA","Christianity","good","peaceful","No","Yes","No","Joyful","Low Density","Engineering ","1001-10 000","","Soccer","Information Technology","sport news","Gospel/religious","reading","Edible nuts and seeds"
"2019/02/13 4:32:29 PM GMT+2","Male","Married","Sibling(s)","Tertiary","Action","31-35","Zimbabwe","Masvungo","Harare","English,Shona","Christianity","bad","peaceful","Yes","Yes","Yes","sorrowful","Medium Density","Art","1001-10 000","laptop:Hp Probook 450 g5","Others","Agriculture","hard news","Country","watching TV","Meat"
"2019/02/13 4:34:41 PM GMT+2","Female","Single","Immediate Family","Tertiary","comedy","26-30","Zimbabwe ","Bulawayo","Harare","English, shona and Ndebele","Christianity","good","good","No","Yes","No","Joyful","Low Density","Mathematics","101-1 000","","Others","Information Technology","Business News","Gospel/religious","Cooking","legumes"
"2019/02/13 4:36:25 PM GMT+2","Male","Married","Immediate Family","Tertiary","Documentaries","36-40","zimbabwe","chinhoyi","chinhoyi","chishona","Christianity","good","hopeful","No","Yes","No","Joyful","High Density","art","1001-10 000","desktop computer","Atheletics","Entertainment & Media","hard news;editorial/column","Gospel/religious;sungura;Dance Hall;Reggae;House","reading","legumes;Meat"
"2019/02/13 4:36:41 PM GMT+2","Female","Single","Alone","Professional","Religious;Action","26-30","Zimbabwe","Gweru","Harare","Shona and English","Christianity","good","hopeful","No","Yes","Yes","Joyful","Low Density","IT","101-1 000","Asus K541U","Soccer;Swimming","Information Technology;Entertainment & Media;Clothing & Accessories;Science;Artificial Intelligence","Lifestyle/entertainment;Investigative News;Tech News;Crime News","Gospel/religious;Rnb;Country","Cooking;fishing;watching TV","legumes;Dairy products;Meat;Seafood"
"2019/02/13 4:41:26 PM GMT+2","Male","Single","Friend(s)","Tertiary","Documentaries","26-30","zimbabwe","mrewa","harare","shona and english","Christianity","good","peaceful","No","Yes","No","Joyful","Low Density","software development","101-1 000"," laptop: dell latitude E7440","Rugby","Information Technology","Tech News","Reggae","reading","Meat"
"2019/02/13 4:42:31 PM GMT+2","Female","Married","Immediate Family","Tertiary","Documentaries;Religious;comedy;Romance","31-35","zimbabwe","harare","westgate","shona","Christianity","good","chaotic","No","Yes","No","fearful","Low Density","analysis","1-100","samsung J3","Soccer;Tennis;Swimming;Cricket","Science;Artificial Intelligence","sport news;editorial/column","Gospel/religious","Cooking;Mountain climbing;reading","Meat;Cereals"
"2019/02/13 4:42:48 PM GMT+2","Female","Single","Immediate Family","Tertiary","comedy;Romance;Action","26-30","Zimbabwe","Hwange","Harare","English Shona Ndebele","Christianity","good","peaceful;hopeful;good","No","Yes","No","Joyful","Medium Density","Information Technology","101-1 000","Hp probook 650 G3","Atheletics;Swimming;Others","Information Technology;Entertainment & Media;Art & Music;Artificial Intelligence","Investigative News;Tech News;Crime News","Gospel/religious;Rnb;Dance Hall;House","Cooking;reading;watching TV","Baked goods;Breads;Dairy products;Eggs;Meat;Cereals"
"2019/02/13 4:45:39 PM GMT+2","Male","Single","Immediate Family","Professional","Documentaries","26-30","Zimbabwe ","Marondera ","Banket ","English ","Christianity","frustrated","chaotic","Yes","Yes","No","sorrowful","Rural","Science ","1001-10 000","Iphone 7+","Cricket;Others","Information Technology;Science;Robotics;Artificial Intelligence","sport news","Gospel/religious","sporting","Baked goods"
"2019/02/13 4:52:02 PM GMT+2","Male","Married","Immediate Family","Tertiary","Religious;comedy","41-45","Zimbabwe","Masvingo","Chinhoyi","Shona and English","Christianity","good","chaotic","Yes","Yes","No","sorrowful","High Density","Procurement","101-1 000","dell latitude E7240","Others","Transport;Architecture;Entertainment & Media;Appliances","hard news;Business News","Gospel/religious","reading;fishing;singing","legumes;Edible nuts and seeds;Dairy products;Eggs;Meat;Cereals"
"2019/02/13 4:53:42 PM GMT+2","Female","Single","Alone","Tertiary","Documentaries;Romance;Action","31-35","Zimbabwe","Kwekwe","Harare","English, shona","Christianity","depressed","hopeful","No","Yes","No","sorrowful","Low Density","Engineering","101-1 000","Asus A007","Others","Information Technology","feature news;Lifestyle/entertainment;Tech News","Gospel/religious;Rnb;Dance Hall;Country;House","reading;watching TV","Edible nuts and seeds;Baked goods;Breads;Dairy products;Eggs;Meat;Cereals;Seafood"
"2019/02/13 5:29:05 PM GMT+2","Male","Married","Immediate Family","Tertiary","Documentaries;Sci-fi;comedy;Action","31-35","Zimbabwe","Harare","Mabelreign","Shona","Christianity","frustrated","hopeful","No","Yes","Yes","Joyful","Medium Density","Sales","1001-10 000","Laptop: HP Probook 450 G4","Soccer;Rugby","Information Technology;Entertainment & Media;Artificial Intelligence","hard news;Profiles;Business News","Rnb;Dance Hall;House","sporting","Baked goods;Meat;Cereals"
"2019/02/13 5:38:05 PM GMT+2","Female","Single","Immediate Family","Tertiary","Sci-fi;comedy;Romance","26-30","Zimbabwe","Harare","Harare","English Shona","Christianity","good","hopeful","No","Yes","Yes","Joyful","High Density","ICT","1-100","Blackview A30","Others","Information Technology","Lifestyle/entertainment","pop;Rnb","reading;e-gaming;singing;watching TV","Baked goods;Dairy products;Eggs;Meat;Cereals"
"2019/02/13 5:54:43 PM GMT+2","Male","Married","Immediate Family;Sibling(s)","Professional","Documentaries;Action","36-40","Zimbabwe","Chiredzi","Harare","Shangaan, Shona, English","Christianity","envious;depressed","peaceful;hopeful","No","Yes","No","sorrowful","Medium Density","Data management","1001-10 000","laptop: Probook 450","Soccer","Information Technology;Entertainment & Media;Art & Music","hard news;Lifestyle/entertainment;Tech News","Gospel/religious;sungura;Rnb;Dance Hall;Reggae;House","Cooking;Dance Hall;watching TV","legumes;Edible nuts and seeds;Dairy products;Eggs;Meat;Cereals"
"2019/02/13 6:17:50 PM GMT+2","Male","Married","Immediate Family","Tertiary","Documentaries;Religious;comedy;Romance;Action","31-35","Zimbabwe","Chivi Growth Point","Harare","Chivi","Christianity","good","peaceful;good","No","Yes","Yes","Joyful","High Density","Biostatistics","1001-10 000","laptop","Atheletics;Soccer;Swimming","Information Technology;Entertainment & Media;Industrial Machines;Medical Technology","hard news;sport news;Lifestyle/entertainment;Business News","Gospel/religious;pop;sungura;Rnb;Dance Hall;Reggae;House","Cooking;reading;Dance Hall;watching TV","Meat"
"2019/02/13 6:18:24 PM GMT+2","Male","Married","Immediate Family","Tertiary","Documentaries;Religious","36-40","Zimbabwe","Mutare","Harare","English, Shona","Christianity","good","peaceful;hopeful;good","No","Yes","Yes","Joyful","Low Density","ICT","101-1 000","Laptop: Toshiba Satellite","Atheletics;Soccer","Information Technology;Entertainment & Media","hard news;sport news;Profiles;Business News","Gospel/religious;jazz;House","reading;watching TV","Edible nuts and seeds;Eggs;Meat;Seafood"
"2019/02/13 6:30:03 PM GMT+2","Female","Single","Immediate Family","Professional","Documentaries;Sci-fi;comedy","36-40","Zimbabwe ","Marondera ","Harare","English and shona","Christianity","good","hopeful","No","Yes","Yes","Joyful","High Density","Software","101-1 000","Samsung galaxy tab 2016","Atheletics","Information Technology","hard news;feature news;Lifestyle/entertainment","Gospel/religious;jazz;Rnb;Reggae","reading;sporting","legumes;Edible plants;Breads;Eggs"
"2019/02/13 6:31:19 PM GMT+2","Male","Married","Immediate Family","Tertiary","Documentaries;Action","41-45","Zimbabwe","Harare","Harare","Shona, English","Christianity","envious;depressed","hopeful","Yes","Yes","No","fearful","Low Density","Finance","1001-10 000","MacBook Air","Atheletics","Information Technology;Agriculture","hard news;Crime News;Business News","Reggae","Cooking;Mountain climbing;reading;fishing","legumes;Edible plants;Edible nuts and seeds;Meat"
"2019/02/13 6:59:26 PM GMT+2","Female","Single","Sibling(s)","Tertiary","Sci-fi;Action","26-30","Zimbabwe","gweru","harare","English shona","Christianity","frustrated","chaotic","Yes","Yes","Yes","sorrowful","Low Density","research","1001-10 000","lenovo thinkpad","Atheletics;Swimming","Information Technology","Profiles","Gospel/religious;pop;Rnb;Dance Hall","watching TV","Edible nuts and seeds"
"2019/02/13 8:30:42 PM GMT+2","Male","Single","Extended family","Tertiary","Documentaries;comedy;Action","21-25","Zimbabwe","harare","kigali","English","Christianity","frustrated","chaotic","Yes","Yes","No","fearful","Low Density","Information Technology","101-1 000","Dell inspiron 15 3000 series","Soccer;Rugby","Information Technology;Transport;Agriculture;Entertainment & Media","sport news;Lifestyle/entertainment;Profiles","Gospel/religious;sungura;Rnb;Reggae","Mountain climbing;singing","Edible plants;Edible nuts and seeds;Baked goods"
"2019/02/13 8:46:15 PM GMT+2","Male","Married","Immediate Family","Tertiary","Action","46-50","Zimbabwe","Chinhoyi / Mashonaland West","Chinhoyi","English and Shona","Christianity","frustrated","chaotic","No","No","No","fearful","Medium Density","Accounting","1001-10 000","laptop: dell ","Soccer","Information Technology","hard news","Gospel/religious","watching TV","Baked goods"
"2019/02/13 10:10:10 PM GMT+2","Male","Married","Immediate Family","Tertiary","Documentaries;Religious;Action","31-35","Zimbabwe","Chinhoyi","Mapako","Shona and English","Christianity","good","peaceful","Yes","Yes","Yes","Joyful","Low Density","Marketing","101-1 000","Samsung tab","Soccer","Information Technology","Lifestyle/entertainment","Gospel/religious;sungura;jazz;Rnb","Dance Hall","legumes;Edible plants;Edible nuts and seeds;Baked goods;Breads;Dairy products;Meat"
"2019/02/13 11:15:37 PM GMT+2","Male","Married","Immediate Family","Tertiary","Documentaries;Religious","31-35","Zimbabwe","Masvingo","Harare","English, Shona, French","Christianity","good","hopeful","No","Yes","No","Joyful","Medium Density","Agriculture","101-1 000","Laptop: HP Pavilion","Atheletics","Information Technology;Sensors;Transport;Energy;Agriculture;Architecture;Medical Technology;Science;Robotics;Artificial Intelligence","Tech News","Gospel/religious;sungura","Cooking;reading","Breads;Dairy products;Eggs;Meat;Cereals"
"2019/02/14 5:41:36 AM GMT+2","Male","Married","Immediate Family","Professional","Action","41-45","Zimbabwe","HARARE","Harare","Harare","Christianity","good","hopeful","No","Yes","No","Joyful","Low Density","ACCOUNTING","10 000 +","Laptop","Others","Information Technology;Transport;Agriculture;Industrial Machines;Artificial Intelligence","editorial/column;Investigative News;Business News","Gospel/religious;Dance Hall","watching TV","legumes;Edible plants;Edible nuts and seeds;Baked goods;Breads;Dairy products;Eggs;Meat;Cereals;Seafood"
"2019/02/14 9:45:38 AM GMT+2","Male","Single","Immediate Family","Tertiary","Action","31-35","Zimbabwe","Masvingo","Harare","Shona and English ","Christianity","depressed","hopeful","No","Yes","Yes","fearful","High Density","Monitoring and evaluation","101-1 000","Huawei mate 20 lite","Soccer","Information Technology","sport news","rock","Mountain climbing","Edible nuts and seeds"
"2019/02/14 12:04:27 PM GMT+2","Male","Married","Immediate Family","Professional","Documentaries","46-50","Zimbabwe","Chivhu","Chinhoyi","English and Shona","Christianity","good","threatening","No","Yes","No","Joyful","High Density","IT","1001-10 000","Laptop: Toshiba","Atheletics","Information Technology","hard news","Gospel/religious;sungura","reading;sporting","Dairy products;Eggs;Meat"
"2019/02/14 12:11:14 PM GMT+2","Male","Single","Immediate Family","Tertiary","Action","26-30","Zimbabwe","Nyanga","Bindura","English Shona","Christianity","good","good","No","Yes","No","Joyful","Medium Density","Computer Science","101-1 000","dell inspiron 15","Soccer","Information Technology;Sensors;Artificial Intelligence","sport news;Tech News;Business News","Gospel/religious;Rnb;Dance Hall;Reggae;Country;House","fishing;watching TV","legumes;Edible plants;Edible nuts and seeds;Baked goods;Breads;Dairy products;Eggs;Meat;Cereals"
"2019/02/14 12:44:43 PM GMT+2","Male","Married","Extended family","Tertiary","Documentaries;Religious;Sci-fi;comedy;Romance;Action;African Movies, Zee World whatever on telly.","Above 50","zimbabwe","Mashonaland East","Chinhoyi","Shona and English","Other","good","peaceful;hopeful;good","No","No","Yes","Joyful","High Density","Administration","1001-10 000","hp desktop","Atheletics;Soccer;Tennis","Information Technology;Transport;Energy;Agriculture;Entertainment & Media;Art & Music;Appliances","hard news;sport news;editorial/column;feature news;Lifestyle/entertainment;Profiles;Investigative News;Tech News;Crime News;Business News","Gospel/religious;pop;rock;sungura;jazz;Rnb;Dance Hall;Reggae;Country;House","reading;watching TV","legumes;Edible plants;Edible nuts and seeds;Baked goods;Breads;Dairy products;Eggs;Meat;Cereals"
"2019/02/14 12:48:32 PM GMT+2","Female","Married","Extended family","Tertiary","Documentaries","26-30","Zimbabwe","Harare","Harare","Shona","Christianity","good","hopeful","No","Yes","No","Joyful;fearful","Low Density","Business","101-1 000","hp Laptop","Others","Entertainment & Media","Business News","Gospel/religious","reading","Meat"
"2019/02/14 1:10:15 PM GMT+2","Male","Single","Self","Professional","Action","31-35","Zimbabwe","mutare","Harare","Shona and English","Christianity","good","hopeful","No","Yes","No","Joyful","Medium Density","ICT","1001-10 000","laptop","Swimming","Agriculture","Lifestyle/entertainment","House","fishing","Cereals"
"2019/02/14 1:18:25 PM GMT+2","Male","Single","Friend(s)","Tertiary","Sci-fi","31-35","Zimbabwe","Bulawayo","Harare","Ndebele, English Shona","Christianity","good","peaceful","No","Yes","No","Joyful","Medium Density","Information Technology","1001-10 000","HP Laptop","Others","Information Technology","hard news","Gospel/religious","watching TV","Eggs;Meat"
"2019/02/14 1:47:15 PM GMT+2","Female","Other","Immediate Family","Tertiary","Religious","46-50","Zimbabwe","Harare","Harare","Shona and english","Christianity","good","hopeful","No","Yes","Yes","Joyful","Medium Density","Commerce","1001-10 000","laptop","Tennis","Entertainment & Media","feature news","Gospel/religious","reading","Breads;Meat;Cereals"
"2019/02/14 2:11:02 PM GMT+2","Female","Single","Immediate Family","Tertiary","Sci-fi;comedy","26-30","Zimbabwe ","Mashonaland East ","Harare","English and Shona ","Christianity","good","peaceful","No","Yes","Yes","Joyful","Medium Density","Statistics ","101-1 000","Huawei Mate 10","Swimming","Science","Lifestyle/entertainment;Business News","Gospel/religious;jazz;Country","Cooking;Mountain climbing;reading","legumes;Edible plants;Edible nuts and seeds;Baked goods;Breads;Dairy products;Eggs;Meat;Cereals;Seafood"
"2019/02/14 3:23:51 PM GMT+2","Male","Married","Immediate Family","Tertiary","Religious;Sci-fi;comedy;Action","31-35","Zimbabwe","Harare","Eastlea","English and Shona","Christianity","good","peaceful;good","No","Yes","No","Joyful","Low Density","Science","1001-10 000","iPhone 5s","Rugby;Tennis;Swimming;Cricket","Information Technology;Agriculture;Entertainment & Media;Science","hard news;sport news;Profiles;Tech News;Crime News;Business News","pop;rock;Rnb;Dance Hall;Reggae;Country;House","Cooking;reading;Dance Hall;watching TV","legumes;Edible plants;Edible nuts and seeds;Baked goods;Breads;Dairy products;Eggs;Meat;Cereals"
